id,name,category,base_system,constraint,archetype,structurally_distinct,why_distinct,what_the_constraint_changes,components,nodes,edges
"photo-sharing-fanout","Photo sharing — high fan-out","Social & media","Photo sharing","high fan-out","media","no","Upload, transcode, then a read pattern nothing like the write.","One call becomes twenty; tail latency is the only latency that matters.","9","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB,micro:Aggregator","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"photo-sharing-readheavy","Photo sharing — read-heavy","Social & media","Photo sharing","read-heavy","media","no","Upload, transcode, then a read pattern nothing like the write.","Reads dominate 50:1; the design lives or dies on hit rate.","9","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB,cache:Edge cache","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"photo-sharing-multiregion","Photo sharing — multi-region active-active","Social & media","Photo sharing","multi-region active-active","media","no","Upload, transcode, then a read pattern nothing like the write.","Two live regions; replication lag becomes a correctness question.","10","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB,gslb:Global LB,cdc:Replicator","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"stories","Ephemeral stories","Social & media","Ephemeral stories","base","media","no","Everything expires, which makes the delete path load-bearing.","The straightforward shape, sized for steady load.","8","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"stories-fanout","Ephemeral stories — high fan-out","Social & media","Ephemeral stories","high fan-out","media","no","Everything expires, which makes the delete path load-bearing.","One call becomes twenty; tail latency is the only latency that matters.","9","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB,micro:Aggregator","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"stories-readheavy","Ephemeral stories — read-heavy","Social & media","Ephemeral stories","read-heavy","media","no","Everything expires, which makes the delete path load-bearing.","Reads dominate 50:1; the design lives or dies on hit rate.","9","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB,cache:Edge cache","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"stories-multiregion","Ephemeral stories — multi-region active-active","Social & media","Ephemeral stories","multi-region active-active","media","no","Everything expires, which makes the delete path load-bearing.","Two live regions; replication lag becomes a correctness question.","10","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB,gslb:Global LB,cdc:Replicator","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"podcast","Podcast hosting","Social & media","Podcast hosting","base","media","no","Huge files, tiny metadata, and a spike at release.","The straightforward shape, sized for steady load.","8","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"podcast-fanout","Podcast hosting — high fan-out","Social & media","Podcast hosting","high fan-out","media","no","Huge files, tiny metadata, and a spike at release.","One call becomes twenty; tail latency is the only latency that matters.","9","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB,micro:Aggregator","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"podcast-readheavy","Podcast hosting — read-heavy","Social & media","Podcast hosting","read-heavy","media","no","Huge files, tiny metadata, and a spike at release.","Reads dominate 50:1; the design lives or dies on hit rate.","9","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB,cache:Edge cache","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"podcast-multiregion","Podcast hosting — multi-region active-active","Social & media","Podcast hosting","multi-region active-active","media","no","Huge files, tiny metadata, and a spike at release.","Two live regions; replication lag becomes a correctness question.","10","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB,gslb:Global LB,cdc:Replicator","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"music-streaming","Music streaming","Social & media","Music streaming","base","media","no","Long sessions and a catalogue that must be instantly seekable.","The straightforward shape, sized for steady load.","8","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"music-streaming-fanout","Music streaming — high fan-out","Social & media","Music streaming","high fan-out","media","no","Long sessions and a catalogue that must be instantly seekable.","One call becomes twenty; tail latency is the only latency that matters.","9","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB,micro:Aggregator","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"music-streaming-readheavy","Music streaming — read-heavy","Social & media","Music streaming","read-heavy","media","no","Long sessions and a catalogue that must be instantly seekable.","Reads dominate 50:1; the design lives or dies on hit rate.","9","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB,cache:Edge cache","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"music-streaming-multiregion","Music streaming — multi-region active-active","Social & media","Music streaming","multi-region active-active","media","no","Long sessions and a catalogue that must be instantly seekable.","Two live regions; replication lag becomes a correctness question.","10","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB,gslb:Global LB,cdc:Replicator","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"content-moderation","Content moderation","Social & media","Content moderation","base","inference","no","A model in the publish path with a human queue behind it.","The straightforward shape, sized for steady load.","7","client:Client,gateway:API gateway,ratelimiter:Rate limiter,guard:Safety filter,llm:Model,vector:Vector store,cache:Response cache","client>gateway>ratelimiter>guard>llm,llm>vector,gateway>cache"
"content-moderation-fanout","Content moderation — high fan-out","Social & media","Content moderation","high fan-out","inference","no","A model in the publish path with a human queue behind it.","One call becomes twenty; tail latency is the only latency that matters.","8","client:Client,gateway:API gateway,ratelimiter:Rate limiter,guard:Safety filter,llm:Model,vector:Vector store,cache:Response cache,micro:Aggregator","client>gateway>ratelimiter>guard>llm,llm>vector,gateway>cache"
"content-moderation-readheavy","Content moderation — read-heavy","Social & media","Content moderation","read-heavy","inference","no","A model in the publish path with a human queue behind it.","Reads dominate 50:1; the design lives or dies on hit rate.","8","client:Client,gateway:API gateway,ratelimiter:Rate limiter,guard:Safety filter,llm:Model,vector:Vector store,cache:Response cache,cache:Edge cache","client>gateway>ratelimiter>guard>llm,llm>vector,gateway>cache"
"content-moderation-multiregion","Content moderation — multi-region active-active","Social & media","Content moderation","multi-region active-active","inference","no","A model in the publish path with a human queue behind it.","Two live regions; replication lag becomes a correctness question.","9","client:Client,gateway:API gateway,ratelimiter:Rate limiter,guard:Safety filter,llm:Model,vector:Vector store,cache:Response cache,gslb:Global LB,cdc:Replicator","client>gateway>ratelimiter>guard>llm,llm>vector,gateway>cache"
"search-social","Social search","Social & media","Social search","base","search","no","Index freshness measured in seconds, not hours.","The straightforward shape, sized for steady load.","8","client:Client,cdn:CDN,gateway:API gateway,app:Query API,search:Index,cache:Cache,cdc:Indexer,sql:Source DB","client>cdn>gateway>app,app>search,app>cache,sql>cdc>search"
"search-social-fanout","Social search — high fan-out","Social & media","Social search","high fan-out","search","no","Index freshness measured in seconds, not hours.","One call becomes twenty; tail latency is the only latency that matters.","9","client:Client,cdn:CDN,gateway:API gateway,app:Query API,search:Index,cache:Cache,cdc:Indexer,sql:Source DB,micro:Aggregator","client>cdn>gateway>app,app>search,app>cache,sql>cdc>search"
"search-social-readheavy","Social search — read-heavy","Social & media","Social search","read-heavy","search","no","Index freshness measured in seconds, not hours.","Reads dominate 50:1; the design lives or dies on hit rate.","9","client:Client,cdn:CDN,gateway:API gateway,app:Query API,search:Index,cache:Cache,cdc:Indexer,sql:Source DB,cache:Edge cache","client>cdn>gateway>app,app>search,app>cache,sql>cdc>search"
"search-social-multiregion","Social search — multi-region active-active","Social & media","Social search","multi-region active-active","search","no","Index freshness measured in seconds, not hours.","Two live regions; replication lag becomes a correctness question.","10","client:Client,cdn:CDN,gateway:API gateway,app:Query API,search:Index,cache:Cache,cdc:Indexer,sql:Source DB,gslb:Global LB,cdc:Replicator","client>cdn>gateway>app,app>search,app>cache,sql>cdc>search"
"hashtag-trending","Trending topics","Social & media","Trending topics","base","pipeline","no","A streaming aggregation whose output is read by everyone.","The straightforward shape, sized for steady load.","7","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI","client>kafka>stream>lake>etl>warehouse>bi"
"hashtag-trending-fanout","Trending topics — high fan-out","Social & media","Trending topics","high fan-out","pipeline","no","A streaming aggregation whose output is read by everyone.","One call becomes twenty; tail latency is the only latency that matters.","8","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,micro:Aggregator","client>kafka>stream>lake>etl>warehouse>bi"
"hashtag-trending-readheavy","Trending topics — read-heavy","Social & media","Trending topics","read-heavy","pipeline","no","A streaming aggregation whose output is read by everyone.","Reads dominate 50:1; the design lives or dies on hit rate.","8","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,cache:Edge cache","client>kafka>stream>lake>etl>warehouse>bi"
"hashtag-trending-multiregion","Trending topics — multi-region active-active","Social & media","Trending topics","multi-region active-active","pipeline","no","A streaming aggregation whose output is read by everyone.","Two live regions; replication lag becomes a correctness question.","9","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,gslb:Global LB,cdc:Replicator","client>kafka>stream>lake>etl>warehouse>bi"
"follow-graph","Follow graph","Social & media","Follow graph","base","fanout","no","A graph traversal on the hot path of every page.","The straightforward shape, sized for steady load.","9","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
"follow-graph-fanout","Follow graph — high fan-out","Social & media","Follow graph","high fan-out","fanout","no","A graph traversal on the hot path of every page.","One call becomes twenty; tail latency is the only latency that matters.","10","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB,micro:Aggregator","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
"follow-graph-readheavy","Follow graph — read-heavy","Social & media","Follow graph","read-heavy","fanout","no","A graph traversal on the hot path of every page.","Reads dominate 50:1; the design lives or dies on hit rate.","10","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB,cache:Edge cache","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
"follow-graph-multiregion","Follow graph — multi-region active-active","Social & media","Follow graph","multi-region active-active","fanout","no","A graph traversal on the hot path of every page.","Two live regions; replication lag becomes a correctness question.","11","client:Client,cdn:CDN,gateway:API gateway,bff:BFF,micro:Service A,micro:Service B,micro:Service C,cache:Cache,sql:DB,gslb:Global LB,cdc:Replicator","client>cdn>gateway>bff,bff>micro,bff>micro,bff>micro,micro>cache,micro>sql"
"feed-ranking","Feed ranking","Social & media","Feed ranking","base","inference","no","Ranking every item for every user, priced per impression.","The straightforward shape, sized for steady load.","7","client:Client,gateway:API gateway,ratelimiter:Rate limiter,guard:Safety filter,llm:Model,vector:Vector store,cache:Response cache","client>gateway>ratelimiter>guard>llm,llm>vector,gateway>cache"
"feed-ranking-fanout","Feed ranking — high fan-out","Social & media","Feed ranking","high fan-out","inference","no","Ranking every item for every user, priced per impression.","One call becomes twenty; tail latency is the only latency that matters.","8","client:Client,gateway:API gateway,ratelimiter:Rate limiter,guard:Safety filter,llm:Model,vector:Vector store,cache:Response cache,micro:Aggregator","client>gateway>ratelimiter>guard>llm,llm>vector,gateway>cache"
"feed-ranking-readheavy","Feed ranking — read-heavy","Social & media","Feed ranking","read-heavy","inference","no","Ranking every item for every user, priced per impression.","Reads dominate 50:1; the design lives or dies on hit rate.","8","client:Client,gateway:API gateway,ratelimiter:Rate limiter,guard:Safety filter,llm:Model,vector:Vector store,cache:Response cache,cache:Edge cache","client>gateway>ratelimiter>guard>llm,llm>vector,gateway>cache"
"feed-ranking-multiregion","Feed ranking — multi-region active-active","Social & media","Feed ranking","multi-region active-active","inference","no","Ranking every item for every user, priced per impression.","Two live regions; replication lag becomes a correctness question.","9","client:Client,gateway:API gateway,ratelimiter:Rate limiter,guard:Safety filter,llm:Model,vector:Vector store,cache:Response cache,gslb:Global LB,cdc:Replicator","client>gateway>ratelimiter>guard>llm,llm>vector,gateway>cache"
"user-profiles","User profiles","Social & media","User profiles","base","readheavy","no","Read on every surface, written rarely, cached everywhere.","The straightforward shape, sized for steady load.","7","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search","client>cdn>lb>app,app>cache,app>sql,app>search"
"user-profiles-fanout","User profiles — high fan-out","Social & media","User profiles","high fan-out","readheavy","no","Read on every surface, written rarely, cached everywhere.","One call becomes twenty; tail latency is the only latency that matters.","8","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,micro:Aggregator","client>cdn>lb>app,app>cache,app>sql,app>search"
"user-profiles-readheavy","User profiles — read-heavy","Social & media","User profiles","read-heavy","readheavy","no","Read on every surface, written rarely, cached everywhere.","Reads dominate 50:1; the design lives or dies on hit rate.","8","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,cache:Edge cache","client>cdn>lb>app,app>cache,app>sql,app>search"
"user-profiles-multiregion","User profiles — multi-region active-active","Social & media","User profiles","multi-region active-active","readheavy","no","Read on every surface, written rarely, cached everywhere.","Two live regions; replication lag becomes a correctness question.","9","client:Client,cdn:CDN,lb:Load balancer,app:App,cache:Cache,sql:Primary DB,search:Search,gslb:Global LB,cdc:Replicator","client>cdn>lb>app,app>cache,app>sql,app>search"
"image-cdn","Image resizing CDN","Social & media","Image resizing CDN","base","media","no","Transform-on-demand, where a cache miss is expensive compute.","The straightforward shape, sized for steady load.","8","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"image-cdn-fanout","Image resizing CDN — high fan-out","Social & media","Image resizing CDN","high fan-out","media","no","Transform-on-demand, where a cache miss is expensive compute.","One call becomes twenty; tail latency is the only latency that matters.","9","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB,micro:Aggregator","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"image-cdn-readheavy","Image resizing CDN — read-heavy","Social & media","Image resizing CDN","read-heavy","media","no","Transform-on-demand, where a cache miss is expensive compute.","Reads dominate 50:1; the design lives or dies on hit rate.","9","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB,cache:Edge cache","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"image-cdn-multiregion","Image resizing CDN — multi-region active-active","Social & media","Image resizing CDN","multi-region active-active","media","no","Transform-on-demand, where a cache miss is expensive compute.","Two live regions; replication lag becomes a correctness question.","10","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB,gslb:Global LB,cdc:Replicator","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"reactions","Reactions and likes","Social & media","Reactions and likes","base","writeheavy","no","The highest-volume, lowest-value write in the system.","The straightforward shape, sized for steady load.","8","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"reactions-fanout","Reactions and likes — high fan-out","Social & media","Reactions and likes","high fan-out","writeheavy","no","The highest-volume, lowest-value write in the system.","One call becomes twenty; tail latency is the only latency that matters.","9","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,micro:Aggregator","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"reactions-readheavy","Reactions and likes — read-heavy","Social & media","Reactions and likes","read-heavy","writeheavy","no","The highest-volume, lowest-value write in the system.","Reads dominate 50:1; the design lives or dies on hit rate.","9","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,cache:Edge cache","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"reactions-multiregion","Reactions and likes — multi-region active-active","Social & media","Reactions and likes","multi-region active-active","writeheavy","no","The highest-volume, lowest-value write in the system.","Two live regions; replication lag becomes a correctness question.","10","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,gslb:Global LB,cdc:Replicator","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"creator-payouts","Creator payouts","Social & media","Creator payouts","base","batch","no","A monthly reconciliation across billions of events.","The straightforward shape, sized for steady load.","6","scheduler:Scheduler,batch:Batch job,lake:Lake,etl:Transform,warehouse:Warehouse,blob:Object store","scheduler>batch>lake>etl>warehouse,batch>blob"
"creator-payouts-fanout","Creator payouts — high fan-out","Social & media","Creator payouts","high fan-out","batch","no","A monthly reconciliation across billions of events.","One call becomes twenty; tail latency is the only latency that matters.","7","scheduler:Scheduler,batch:Batch job,lake:Lake,etl:Transform,warehouse:Warehouse,blob:Object store,micro:Aggregator","scheduler>batch>lake>etl>warehouse,batch>blob"
"creator-payouts-readheavy","Creator payouts — read-heavy","Social & media","Creator payouts","read-heavy","batch","no","A monthly reconciliation across billions of events.","Reads dominate 50:1; the design lives or dies on hit rate.","7","scheduler:Scheduler,batch:Batch job,lake:Lake,etl:Transform,warehouse:Warehouse,blob:Object store,cache:Edge cache","scheduler>batch>lake>etl>warehouse,batch>blob"
"creator-payouts-multiregion","Creator payouts — multi-region active-active","Social & media","Creator payouts","multi-region active-active","batch","no","A monthly reconciliation across billions of events.","Two live regions; replication lag becomes a correctness question.","8","scheduler:Scheduler,batch:Batch job,lake:Lake,etl:Transform,warehouse:Warehouse,blob:Object store,gslb:Global LB,cdc:Replicator","scheduler>batch>lake>etl>warehouse,batch>blob"
"ugc-upload","User upload pipeline","Social & media","User upload pipeline","base","media","no","Untrusted input, expensive processing, unpredictable size.","The straightforward shape, sized for steady load.","8","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"ugc-upload-fanout","User upload pipeline — high fan-out","Social & media","User upload pipeline","high fan-out","media","no","Untrusted input, expensive processing, unpredictable size.","One call becomes twenty; tail latency is the only latency that matters.","9","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB,micro:Aggregator","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"ugc-upload-readheavy","User upload pipeline — read-heavy","Social & media","User upload pipeline","read-heavy","media","no","Untrusted input, expensive processing, unpredictable size.","Reads dominate 50:1; the design lives or dies on hit rate.","9","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB,cache:Edge cache","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"ugc-upload-multiregion","User upload pipeline — multi-region active-active","Social & media","User upload pipeline","multi-region active-active","media","no","Untrusted input, expensive processing, unpredictable size.","Two live regions; replication lag becomes a correctness question.","10","client:Client,cdn:CDN,gateway:API gateway,app:Catalog API,blob:Object store,transcode:Transcoder,queue:Job queue,sql:Metadata DB,gslb:Global LB,cdc:Replicator","client>cdn>gateway>app,app>sql,app>blob,app>queue>transcode>blob"
"live-chat-overlay","Live event chat","Social & media","Live event chat","base","realtime","no","Millions of connections for two hours, then none.","The straightforward shape, sized for steady load.","6","client:Client,gslb:Global LB,ws:Realtime gateway,stream:Processor,tsdb:Time series,cache:State cache","client>gslb>ws>stream>tsdb,ws>cache"
"live-chat-overlay-fanout","Live event chat — high fan-out","Social & media","Live event chat","high fan-out","realtime","no","Millions of connections for two hours, then none.","One call becomes twenty; tail latency is the only latency that matters.","7","client:Client,gslb:Global LB,ws:Realtime gateway,stream:Processor,tsdb:Time series,cache:State cache,micro:Aggregator","client>gslb>ws>stream>tsdb,ws>cache"
"live-chat-overlay-readheavy","Live event chat — read-heavy","Social & media","Live event chat","read-heavy","realtime","no","Millions of connections for two hours, then none.","Reads dominate 50:1; the design lives or dies on hit rate.","7","client:Client,gslb:Global LB,ws:Realtime gateway,stream:Processor,tsdb:Time series,cache:State cache,cache:Edge cache","client>gslb>ws>stream>tsdb,ws>cache"
"live-chat-overlay-multiregion","Live event chat — multi-region active-active","Social & media","Live event chat","multi-region active-active","realtime","no","Millions of connections for two hours, then none.","Two live regions; replication lag becomes a correctness question.","8","client:Client,gslb:Global LB,ws:Realtime gateway,stream:Processor,tsdb:Time series,cache:State cache,gslb:Global LB,cdc:Replicator","client>gslb>ws>stream>tsdb,ws>cache"
"subtitles","Captioning pipeline","Social & media","Captioning pipeline","base","inference","no","Batch inference where nobody is waiting but everybody notices.","The straightforward shape, sized for steady load.","7","client:Client,gateway:API gateway,ratelimiter:Rate limiter,guard:Safety filter,llm:Model,vector:Vector store,cache:Response cache","client>gateway>ratelimiter>guard>llm,llm>vector,gateway>cache"
"subtitles-fanout","Captioning pipeline — high fan-out","Social & media","Captioning pipeline","high fan-out","inference","no","Batch inference where nobody is waiting but everybody notices.","One call becomes twenty; tail latency is the only latency that matters.","8","client:Client,gateway:API gateway,ratelimiter:Rate limiter,guard:Safety filter,llm:Model,vector:Vector store,cache:Response cache,micro:Aggregator","client>gateway>ratelimiter>guard>llm,llm>vector,gateway>cache"
"subtitles-readheavy","Captioning pipeline — read-heavy","Social & media","Captioning pipeline","read-heavy","inference","no","Batch inference where nobody is waiting but everybody notices.","Reads dominate 50:1; the design lives or dies on hit rate.","8","client:Client,gateway:API gateway,ratelimiter:Rate limiter,guard:Safety filter,llm:Model,vector:Vector store,cache:Response cache,cache:Edge cache","client>gateway>ratelimiter>guard>llm,llm>vector,gateway>cache"
"subtitles-multiregion","Captioning pipeline — multi-region active-active","Social & media","Captioning pipeline","multi-region active-active","inference","no","Batch inference where nobody is waiting but everybody notices.","Two live regions; replication lag becomes a correctness question.","9","client:Client,gateway:API gateway,ratelimiter:Rate limiter,guard:Safety filter,llm:Model,vector:Vector store,cache:Response cache,gslb:Global LB,cdc:Replicator","client>gateway>ratelimiter>guard>llm,llm>vector,gateway>cache"
"content-rights","Rights and takedowns","Social & media","Rights and takedowns","base","integration","no","Legal deadlines against systems you do not own.","The straightforward shape, sized for steady load.","7","partner:Partner,mft:File transfer,esb:Integration bus,app:Adapter,erp:ERP,sql:Staging DB,queue:Retry queue","partner>mft>esb>app>erp,app>sql,app>queue"
"content-rights-fanout","Rights and takedowns — high fan-out","Social & media","Rights and takedowns","high fan-out","integration","no","Legal deadlines against systems you do not own.","One call becomes twenty; tail latency is the only latency that matters.","8","partner:Partner,mft:File transfer,esb:Integration bus,app:Adapter,erp:ERP,sql:Staging DB,queue:Retry queue,micro:Aggregator","partner>mft>esb>app>erp,app>sql,app>queue"
"content-rights-readheavy","Rights and takedowns — read-heavy","Social & media","Rights and takedowns","read-heavy","integration","no","Legal deadlines against systems you do not own.","Reads dominate 50:1; the design lives or dies on hit rate.","8","partner:Partner,mft:File transfer,esb:Integration bus,app:Adapter,erp:ERP,sql:Staging DB,queue:Retry queue,cache:Edge cache","partner>mft>esb>app>erp,app>sql,app>queue"
"content-rights-multiregion","Rights and takedowns — multi-region active-active","Social & media","Rights and takedowns","multi-region active-active","integration","no","Legal deadlines against systems you do not own.","Two live regions; replication lag becomes a correctness question.","9","partner:Partner,mft:File transfer,esb:Integration bus,app:Adapter,erp:ERP,sql:Staging DB,queue:Retry queue,gslb:Global LB,cdc:Replicator","partner>mft>esb>app>erp,app>sql,app>queue"
"clickstream","Clickstream ingestion","Data & analytics","Clickstream ingestion","base","pipeline","no","Every page view is a write; loss is tolerable, backpressure is not.","The straightforward shape, sized for steady load.","7","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI","client>kafka>stream>lake>etl>warehouse>bi"
"clickstream-writeheavy","Clickstream ingestion — write-heavy","Data & analytics","Clickstream ingestion","write-heavy","pipeline","no","Every page view is a write; loss is tolerable, backpressure is not.","Writes dominate; the buffer decides whether a burst is absorbed or dropped.","9","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,queue:Write buffer,worker:Writer","client>kafka>stream>lake>etl>warehouse>bi"
"clickstream-costcapped","Clickstream ingestion — cost-capped","Data & analytics","Clickstream ingestion","cost-capped","pipeline","no","Every page view is a write; loss is tolerable, backpressure is not.","Sized to a budget rather than to a latency target, which changes every answer.","7","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI","client>kafka>stream>lake>etl>warehouse>bi"
"clickstream-regulated","Clickstream ingestion — audited","Data & analytics","Clickstream ingestion","audited","pipeline","no","Every page view is a write; loss is tolerable, backpressure is not.","Every mutation is evidence, and the audit path cannot be sampled.","10","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,audit:Audit log,pii:PII vault,sign:Signer","client>kafka>stream>lake>etl>warehouse>bi"
"product-analytics","Product analytics","Data & analytics","Product analytics","base","pipeline","no","Ingest is constant, query is spiky and interactive.","The straightforward shape, sized for steady load.","7","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI","client>kafka>stream>lake>etl>warehouse>bi"
"product-analytics-writeheavy","Product analytics — write-heavy","Data & analytics","Product analytics","write-heavy","pipeline","no","Ingest is constant, query is spiky and interactive.","Writes dominate; the buffer decides whether a burst is absorbed or dropped.","9","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,queue:Write buffer,worker:Writer","client>kafka>stream>lake>etl>warehouse>bi"
"product-analytics-costcapped","Product analytics — cost-capped","Data & analytics","Product analytics","cost-capped","pipeline","no","Ingest is constant, query is spiky and interactive.","Sized to a budget rather than to a latency target, which changes every answer.","7","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI","client>kafka>stream>lake>etl>warehouse>bi"
